copai-webui  | 2026-04-08 17:11:13.031 | INFO     | uvicorn.protocols.http.httptools_impl:send:476 - 151.115.100.39:0 - "GET /_app/immutable/chunks/B_i_4WXY.js HTTP/1.1" 200 - {}
copai-webui  | 2026-04-08 17:11:13.032 | INFO     | uvicorn.protocols.http.httptools_impl:send:476 - 151.115.100.39:0 - "GET /_app/immutable/nodes/7.BE6blJqI.js HTTP/1.1" 200 - {}
copai-webui  | 2026-04-08 17:11:13.033 | INFO     | uvicorn.protocols.http.httptools_impl:send:476 - 151.115.100.39:0 - "GET /_app/immutable/chunks/CXmCQYHo.js HTTP/1.1" 200 - {}
copai-webui  | 2026-04-08 17:11:13.038 | INFO     | uvicorn.protocols.http.httptools_impl:send:476 - 151.115.100.39:0 - "GET /_app/immutable/chunks/C_PjUNnD.js HTTP/1.1" 200 - {}
copai-webui  | 2026-04-08 17:11:13.049 | INFO     | uvicorn.protocols.http.httptools_impl:send:476 - 151.115.100.39:0 - "GET /_app/immutable/chunks/Dwnhkv4B.js HTTP/1.1" 200 - {}
copai-webui  | 2026-04-08 17:11:13.050 | INFO     | uvicorn.protocols.http.httptools_impl:send:476 - 151.115.100.39:0 - "GET /_app/immutable/chunks/BB6YUILg.js HTTP/1.1" 200 - {}
copai-webui  | 2026-04-08 17:11:13.055 | INFO     | uvicorn.protocols.http.httptools_impl:send:476 - 151.115.100.39:0 - "GET /_app/immutable/chunks/DjLvOTTL.js HTTP/1.1" 200 - {}
copai-webui  | 2026-04-08 17:11:13.059 | INFO     | uvicorn.protocols.http.httptools_impl:send:476 - 151.115.100.39:0 - "GET /_app/immutable/chunks/DAiQnLE5.js HTTP/1.1" 200 - {}
copai-webui  | 2026-04-08 17:11:13.068 | INFO     | uvicorn.protocols.http.httptools_impl:send:476 - 151.115.100.39:0 - "GET /_app/immutable/chunks/DcbsfBXx.js HTTP/1.1" 200 - {}
copai-webui  | 2026-04-08 17:11:13.073 | INFO     | uvicorn.protocols.http.httptools_impl:send:476 - 151.115.100.39:0 - "GET /_app/immutable/chunks/B-FGM3-z.js HTTP/1.1" 200 - {}
copai-webui  | 2026-04-08 17:11:13.073 | INFO     | uvicorn.protocols.http.httptools_impl:send:476 - 151.115.100.39:0 - "GET /_app/immutable/chunks/DEPNQjzB.js HTTP/1.1" 200 - {}
copai-webui  | 2026-04-08 17:11:13.077 | INFO     | uvicorn.protocols.http.httptools_impl:send:476 - 151.115.100.39:0 - "GET /_app/immutable/chunks/CzSUw-mA.js HTTP/1.1" 200 - {}
copai-webui  | 2026-04-08 17:11:13.084 | INFO     | uvicorn.protocols.http.httptools_impl:send:476 - 151.115.100.39:0 - "GET /_app/immutable/chunks/ArOWY3rP.js HTTP/1.1" 200 - {}
copai-webui  | 2026-04-08 17:11:13.087 | INFO     | uvicorn.protocols.http.httptools_impl:send:476 - 151.115.100.39:0 - "GET /_app/immutable/chunks/CU2r43ac.js HTTP/1.1" 200 - {}
copai-webui  | 2026-04-08 17:11:13.088 | INFO     | uvicorn.protocols.http.httptools_impl:send:476 - 151.115.100.39:0 - "GET /_app/immutable/chunks/4VZn_dVK.js HTTP/1.1" 200 - {}
copai-webui  | 2026-04-08 17:11:13.096 | INFO     | uvicorn.protocols.http.httptools_impl:send:476 - 151.115.100.39:0 - "GET /_app/immutable/chunks/DsO5fG5x.js HTTP/1.1" 200 - {}
copai-webui  | 2026-04-08 17:11:13.100 | INFO     | uvicorn.protocols.http.httptools_impl:send:476 - 151.115.100.39:0 - "GET /_app/immutable/chunks/BtGe23NV.js HTTP/1.1" 200 - {}
copai-webui  | 2026-04-08 17:11:13.103 | INFO     | uvicorn.protocols.http.httptools_impl:send:476 - 151.115.100.39:0 - "GET /_app/immutable/chunks/B0WkSJIx.js HTTP/1.1" 200 - {}
copai-webui  | 2026-04-08 17:11:13.106 | INFO     | uvicorn.protocols.http.httptools_impl:send:476 - 151.115.100.39:0 - "GET /_app/immutable/chunks/BtOT0UnE.js HTTP/1.1" 200 - {}
copai-webui  | 2026-04-08 17:11:13.108 | INFO     | uvicorn.protocols.http.httptools_impl:send:476 - 151.115.100.39:0 - "GET /_app/immutable/chunks/BJdXo0eC.js HTTP/1.1" 200 - {}
copai-webui  | 2026-04-08 17:11:13.109 | INFO     | uvicorn.protocols.http.httptools_impl:send:476 - 151.115.100.39:0 - "GET /_app/immutable/chunks/K-gko6-4.js HTTP/1.1" 200 - {}
copai-webui  | 2026-04-08 17:11:13.111 | INFO     | uvicorn.protocols.http.httptools_impl:send:476 - 151.115.100.39:0 - "GET /_app/immutable/chunks/DzTw4ctt.js HTTP/1.1" 200 - {}
copai-webui  | 2026-04-08 17:11:13.118 | INFO     | uvicorn.protocols.http.httptools_impl:send:476 - 151.115.100.39:0 - "GET /_app/immutable/chunks/COC64uYA.js HTTP/1.1" 200 - {}
copai-webui  | 2026-04-08 17:11:13.119 | INFO     | uvicorn.protocols.http.httptools_impl:send:476 - 151.115.100.39:0 - "GET /_app/immutable/chunks/BQztekYw.js HTTP/1.1" 200 - {}
copai-webui  | 2026-04-08 17:11:17.951 | INFO     | uvicorn.protocols.http.httptools_impl:send:476 - 151.115.100.39:0 - "GET /static/favicon.svg HTTP/1.1" 200 - {}
